Sample,Treatment,Time,Value
1,High Temp,0,10.482525281836814
2,High Temp,0,10.090539524543248
3,High Temp,0,8.51799605060783
4,High Temp,0,10.42825593352688
5,High Temp,0,9.220161271551513
6,High Temp,0,11.314066271369933
7,High Temp,0,11.67694529036149
8,High Temp,0,7.787220576409891
9,High Temp,0,11.085232535937548
10,High Temp,0,10.90675602907261
11,High Temp,0,9.913624055832036
12,High Temp,0,9.174874342556324
13,High Temp,0,10.497442381112752
14,High Temp,0,10.832542012439474
15,High Temp,0,9.255042021184856
16,High Temp,0,10.564559371578964
17,High Temp,0,8.907123061189646
18,High Temp,0,10.930179929722744
19,High Temp,0,10.250696539037886
20,High Temp,0,10.243794499682084
21,High Temp,0,9.225544769420146
22,High Temp,0,10.934770775590573
23,High Temp,0,10.54755151405154
24,High Temp,0,9.400601364229432
25,High Temp,0,8.75139233803767
26,High Temp,0,11.039703731702467
27,High Temp,0,10.032380844005212
28,High Temp,0,9.314059495075645
29,High Temp,0,9.755328966579135
30,High Temp,0,8.473558863087055
31,Low Temp,0,7.291342176638077
32,Low Temp,0,7.208584913031698
33,Low Temp,0,7.864375546546152
34,Low Temp,0,9.891181753159533
35,Low Temp,0,7.014268087819493
36,Low Temp,0,8.693413370570113
37,Low Temp,0,8.174144880728834
38,Low Temp,0,9.384726312191589
39,Low Temp,0,8.953883119192843
40,Low Temp,0,9.183235294390274
41,Low Temp,0,11.504780127892403
42,Low Temp,0,6.63588423437122
43,Low Temp,0,7.731576489759012
44,Low Temp,0,10.057102647513023
45,Low Temp,0,10.382561407372314
46,Low Temp,0,8.858115049728193
47,Low Temp,0,9.088362845860791
48,Low Temp,0,9.189469157817946
49,Low Temp,0,8.75510374368742
50,Low Temp,0,8.304953011596185
51,Low Temp,0,8.52142343208221
52,Low Temp,0,9.675751892262143
53,Low Temp,0,6.420253707410471
54,Low Temp,0,8.958240572750405
55,Low Temp,0,9.545871214065501
56,Low Temp,0,7.367265726704879
57,Low Temp,0,6.5201362272036185
58,Low Temp,0,6.641924576935953
59,Low Temp,0,9.142542139466078
60,Low Temp,0,12.103343638203693
1,High Temp,24,62.15424228273852
2,High Temp,24,60.193244653103896
3,High Temp,24,61.46113338026215
4,High Temp,24,60.068118060334456
5,High Temp,24,56.328207978294884
6,High Temp,24,60.223850956194795
7,High Temp,24,63.47252388348759
8,High Temp,24,63.534679495201516
9,High Temp,24,57.44946206004957
10,High Temp,24,58.66316156416487
11,High Temp,24,58.229564487719486
12,High Temp,24,62.517416028790294
13,High Temp,24,58.938929103243815
14,High Temp,24,63.58342338964399
15,High Temp,24,58.75868993830084
16,High Temp,24,63.171825450917986
17,High Temp,24,54.640395825804056
18,High Temp,24,62.1573095955472
19,High Temp,24,62.75290183164721
20,High Temp,24,59.26789199086029
21,High Temp,24,60.66653735986401
22,High Temp,24,56.32905181004002
23,High Temp,24,57.1180063252329
24,High Temp,24,56.2990678320518
25,High Temp,24,58.55588023012743
26,High Temp,24,62.94592965238085
27,High Temp,24,58.18343644618241
28,High Temp,24,58.667162583529624
29,High Temp,24,63.18527149342857
30,High Temp,24,59.78628620780356
31,Low Temp,24,29.234776377245236
32,Low Temp,24,31.155868692766315
33,Low Temp,24,29.66400236788407
34,Low Temp,24,27.87243139236314
35,Low Temp,24,28.320175011956525
36,Low Temp,24,30.72019013021796
37,Low Temp,24,29.4592553246204
38,Low Temp,24,28.117842622008563
39,Low Temp,24,30.471679794574484
40,Low Temp,24,29.46495725813874
41,Low Temp,24,30.0753074985306
42,Low Temp,24,30.210009712775214
43,Low Temp,24,25.531214086820032
44,Low Temp,24,27.909686013414255
45,Low Temp,24,30.73014042626469
46,Low Temp,24,27.42183763454183
47,Low Temp,24,33.25583221774319
48,Low Temp,24,32.369892395775814
49,Low Temp,24,29.939036810366062
50,Low Temp,24,32.09319446912062
51,Low Temp,24,33.13665191880077
52,Low Temp,24,31.26380731745792
53,Low Temp,24,30.657740496889847
54,Low Temp,24,31.406007542673958
55,Low Temp,24,28.6583068252506
56,Low Temp,24,31.28692010221322
57,Low Temp,24,32.6305074627625
58,Low Temp,24,32.08550765312786
59,Low Temp,24,29.123930001293065
60,Low Temp,24,22.432176291073567
